"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"/srv/data/multimodal/finnishsubset//100650-10.swf.txt",0.316578749058026,0.0829691032403919,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05,0.301507159005275,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05,0.297739261492087,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05,7.53579502637528e-05
"/srv/data/multimodal/finnishsubset//100650-11.swf.txt",0.435823429541596,0.107583474816072,0.0170345217883418,5.65930956423316e-05,5.65930956423316e-05,5.65930956423316e-05,5.65930956423316e-05,5.65930956423316e-05,5.65930956423316e-05,5.65930956423316e-05,0.135880022637238,5.65930956423316e-05,0.0481607243916242,5.65930956423316e-05,0.0311827956989247,0.223599320882852,5.65930956423316e-05,5.65930956423316e-05,5.65930956423316e-05,5.65930956423316e-05
"/srv/data/multimodal/finnishsubset//100650-19.swf.txt",0.00250368188512518,0.10559646539028,4.90918016691213e-05,4.90918016691213e-05,4.90918016691213e-05,4.90918016691213e-05,4.90918016691213e-05,0.301963672066765,4.90918016691213e-05,4.90918016691213e-05,4.90918016691213e-05,0.00250368188512518,0.218507609229259,4.90918016691213e-05,4.90918016691213e-05,0.208689248895434,4.90918016691213e-05,4.90918016691213e-05,0.0957781050564556,0.0638684339715268
"/srv/data/multimodal/finnishsubset//100650-22.swf.txt",0.035734664764622,7.13266761768902e-05,7.13266761768902e-05,7.13266761768902e-05,7.13266761768902e-05,7.13266761768902e-05,7.13266761768902e-05,7.13266761768902e-05,7.13266761768902e-05,0.042867332382311,0.0749643366619116,7.13266761768902e-05,0.246148359486448,7.13266761768902e-05,7.13266761768902e-05,0.239015691868759,7.13266761768902e-05,7.13266761768902e-05,0.00720399429386591,0.353138373751783
"/srv/data/multimodal/finnishsubset//100650-23.swf.txt",0.049384236453202,0.000123152709359606,0.000123152709359606,0.000123152709359606,0.000123152709359606,0.0185960591133005,0.000123152709359606,0.000123152709359606,0.000123152709359606,0.0678571428571429,0.000123152709359606,0.000123152709359606,0.191009852216749,0.000123152709359606,0.000123152709359606,0.289532019704433,0.0062807881773399,0.000123152709359606,0.000123152709359606,0.375738916256158
"/srv/data/multimodal/finnishsubset//100650-24.swf.txt",0.164825581395349,0.0340116279069767,9.68992248062015e-05,0.0340116279069767,9.68992248062015e-05,9.68992248062015e-05,9.68992248062015e-05,9.68992248062015e-05,9.68992248062015e-05,0.0727713178294574,9.68992248062015e-05,9.68992248062015e-05,9.68992248062015e-05,9.68992248062015e-05,9.68992248062015e-05,0.130910852713178,9.68992248062015e-05,9.68992248062015e-05,0.179360465116279,0.382848837209302
"/srv/data/multimodal/finnishsubset//100650-25.swf.txt",0.0325769854132901,0.121717990275527,0.000162074554294976,0.000162074554294976,0.000162074554294976,0.000162074554294976,0.0325769854132901,0.000162074554294976,0.000162074554294976,0.0163695299837925,0.0974068071312804,0.000162074554294976,0.0893030794165316,0.000162074554294976,0.000162074554294976,0.0649918962722852,0.073095623987034,0.000162074554294976,0.000162074554294976,0.470178282009725
"/srv/data/multimodal/finnishsubset//100650-26.swf.txt",0.308962623951182,0.0191075514874142,3.813882532418e-05,3.813882532418e-05,3.813882532418e-05,3.813882532418e-05,0.0133867276887872,3.813882532418e-05,0.00194508009153318,3.813882532418e-05,3.813882532418e-05,3.813882532418e-05,0.0820366132723112,3.813882532418e-05,0.0324561403508772,0.215522501906941,3.813882532418e-05,0.209801678108314,0.0381769641495042,0.0782227307398932
"/srv/data/multimodal/finnishsubset//100650-2.swf.txt",0.0270580296896086,6.74763832658569e-05,0.0371794871794872,6.74763832658569e-05,6.74763832658569e-05,6.74763832658569e-05,6.74763832658569e-05,0.0135627530364372,6.74763832658569e-05,6.74763832658569e-05,0.0776653171390013,0.664709851551957,6.74763832658569e-05,0.0203103913630229,6.74763832658569e-05,0.148515519568151,6.74763832658569e-05,6.74763832658569e-05,0.0101889338731444,6.74763832658569e-05
"/srv/data/multimodal/finnishsubset//100650-33.swf.txt",6.36132315521628e-05,0.0827608142493639,6.36132315521628e-05,0.0732188295165394,6.36132315521628e-05,6.36132315521628e-05,0.00324427480916031,6.36132315521628e-05,0.00324427480916031,0.337213740458015,6.36132315521628e-05,6.36132315521628e-05,0.381743002544529,0.00324427480916031,6.36132315521628e-05,0.114567430025445,6.36132315521628e-05,6.36132315521628e-05,6.36132315521628e-05,6.36132315521628e-05
"/srv/data/multimodal/finnishsubset//100650-3.swf.txt",0.170065789473684,0.0549342105263158,0.0165570175438596,0.181030701754386,0.000109649122807018,0.000109649122807018,0.000109649122807018,0.000109649122807018,0.000109649122807018,0.000109649122807018,0.000109649122807018,0.000109649122807018,0.000109649122807018,0.000109649122807018,0.000109649122807018,0.043969298245614,0.000109649122807018,0.531907894736842,0.000109649122807018,0.000109649122807018
"/srv/data/multimodal/finnishsubset//100650-42.swf.txt",3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,0.999309593023256,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05,3.63372093023256e-05
